timestamp=
['start: 20260127-224134(+0800)', 'duration: 00:22:45', 'end: 20260127-230419(+0800)']

model config=
in_channels=1, num_classes=8, conv_num=32

Epoch | Loss           | Learning Rate
------------------------------
    1 | 0.1336065885 | 0.0010000
    2 | 0.0423067525 | 0.0010000
    3 | 0.0336593163 | 0.0010000
    4 | 0.0287484787 | 0.0010000
    5 | 0.0255209031 | 0.0010000
    6 | 0.0225486183 | 0.0010000
    7 | 0.0209430331 | 0.0010000
    8 | 0.0185749055 | 0.0010000
    9 | 0.0160998780 | 0.0010000
   10 | 0.0148001727 | 0.0010000
   11 | 0.0131762959 | 0.0010000
   12 | 0.0128069169 | 0.0010000
   13 | 0.0110690344 | 0.0010000
   14 | 0.0107992583 | 0.0010000
   15 | 0.0092340508 | 0.0010000
   16 | 0.0092866368 | 0.0010000
   17 | 0.0075476822 | 0.0010000
   18 | 0.0069763445 | 0.0010000
   19 | 0.0063463301 | 0.0010000
   20 | 0.0061811252 | 0.0010000
   21 | 0.0074358699 | 0.0010000
   22 | 0.0060867532 | 0.0010000
   23 | 0.0050057715 | 0.0010000
   24 | 0.0046608613 | 0.0010000
   25 | 0.0053428882 | 0.0010000
   26 | 0.0046018406 | 0.0010000
   27 | 0.0038615935 | 0.0010000
   28 | 0.0046971812 | 0.0010000
   29 | 0.0046111623 | 0.0010000
   30 | 0.0045416292 | 0.0010000
