timestamp=
['start: 20260127-224134(+0800)', 'duration: 00:22:45', 'end: 20260127-230419(+0800)']

model config=
name: colVAE
upsample_target_size: (64, 64)
loss_function: 0.0005 * (|mse-110.0|) + 0.4973 * (|kld-0.0|) + 0.0050 * (|dice-0.15|) + 0.4973 * (|ssim-0.09|)
R_config: {'name': '20251116-130523(+0800)_Rref_VGG4layer_weights.pth', 'output_channels': 32, 'num_classes': 8}
z_dim: 512
encoder_input_channels: 4
encoder_output_channels: 256
conditioned_features_channels: 64
z_projected_channels: 64
train_loader: {'name': 'train_loader', 'batch_size': 128, 'wafer_resize_scale': (64, 64), 'test_size': 0.2}
validation_loader: None

Epoch | Loss           | Learning Rate
------------------------------
    1 | 6.8402918808 | 0.0001000
    2 | 0.3094445878 | 0.0001000
    3 | 0.2777385956 | 0.0001000
    4 | 0.2332948819 | 0.0001000
    5 | 0.2551329736 | 0.0001000
    6 | 0.2437645664 | 0.0001000
    7 | 0.1897768355 | 0.0001000
    8 | 0.1794254555 | 0.0001000
    9 | 0.1697411660 | 0.0001000
   10 | 0.1708835239 | 0.0001000
   11 | 0.1480471771 | 0.0001000
   12 | 0.1400289556 | 0.0001000
   13 | 0.1602818122 | 0.0001000
   14 | 0.1483823712 | 0.0001000
   15 | 0.1251019860 | 0.0001000
   16 | 0.1168245245 | 0.0001000
   17 | 0.1516356427 | 0.0001000
   18 | 0.1051525287 | 0.0001000
   19 | 0.1080603502 | 0.0001000
   20 | 0.0917182007 | 0.0001000
   21 | 0.0879354399 | 0.0001000
   22 | 0.0819190408 | 0.0001000
   23 | 0.0764635796 | 0.0001000
   24 | 0.1139948265 | 0.0001000
   25 | 0.0881682904 | 0.0001000
   26 | 0.0743602086 | 0.0001000
   27 | 0.0650372799 | 0.0001000
   28 | 0.0743995326 | 0.0001000
   29 | 0.0585389815 | 0.0001000
   30 | 0.0535925219 | 0.0001000
   31 | 0.0525264976 | 0.0001000
   32 | 0.0482981044 | 0.0001000
   33 | 0.0448036866 | 0.0001000
   34 | 0.0434174626 | 0.0001000
   35 | 0.0442983026 | 0.0001000
   36 | 0.0647531538 | 0.0001000
   37 | 0.0396419415 | 0.0001000
   38 | 0.0580074364 | 0.0001000
   39 | 0.0370957668 | 0.0001000
   40 | 0.0331493450 | 0.0001000
   41 | 0.0385715395 | 0.0001000
   42 | 0.0379230978 | 0.0001000
   43 | 0.0316757548 | 0.0001000
   44 | 0.0262929206 | 0.0001000
   45 | 0.0250973301 | 0.0001000
   46 | 0.0278461647 | 0.0001000
   47 | 0.0265806540 | 0.0001000
   48 | 0.0224347904 | 0.0001000
   49 | 0.0206491989 | 0.0001000
   50 | 0.0194949479 | 0.0001000
