timestamp=
['start: 20260127-224134(+0800)', 'duration: 00:22:45', 'end: 20260127-230419(+0800)']

model config=
name: colVAE
upsample_target_size: (64, 64)
loss_function: 0.0005 * (|mse-110.0|) + 0.4973 * (|kld-0.0|) + 0.0050 * (|dice-0.15|) + 0.4973 * (|ssim-0.09|)
R_config: {'name': '20251116-130523(+0800)_Rref_VGG4layer_weights.pth', 'output_channels': 32, 'num_classes': 8}
z_dim: 512
encoder_input_channels: 4
encoder_output_channels: 256
conditioned_features_channels: 64
z_projected_channels: 64
train_loader: {'name': 'train_loader', 'batch_size': 128, 'wafer_resize_scale': (64, 64), 'test_size': 0.2}
validation_loader: None

-----  Loss:    mse      -----
Epoch | Loss           | Learning Rate
------------------------------
    1 | 182.8345696586 | 0.0001000
    2 | 43.2176373906 | 0.0001000
    3 | 34.4793458826 | 0.0001000
    4 | 29.1887839181 | 0.0001000
    5 | 24.9572758394 | 0.0001000
    6 | 21.7327428225 | 0.0001000
    7 | 18.1767880416 | 0.0001000
    8 | 14.6733546538 | 0.0001000
    9 | 11.3343764233 | 0.0001000
   10 | 8.0868628366 | 0.0001000
   11 | 4.6940516624 | 0.0001000
   12 | 3.1102170544 | 0.0001000
   13 | 2.8032138087 | 0.0001000
   14 | 2.1572004366 | 0.0001000
   15 | 1.9552356496 | 0.0001000
   16 | 2.0780925270 | 0.0001000
   17 | 1.8060599896 | 0.0001000
   18 | 1.7735942873 | 0.0001000
   19 | 1.6738460765 | 0.0001000
   20 | 1.5904772141 | 0.0001000
   21 | 1.6908280829 | 0.0001000
   22 | 1.3840536871 | 0.0001000
   23 | 1.5668065368 | 0.0001000
   24 | 1.3200892921 | 0.0001000
   25 | 1.5559798810 | 0.0001000
   26 | 1.3568817587 | 0.0001000
   27 | 1.5452969655 | 0.0001000
   28 | 1.6026134651 | 0.0001000
   29 | 1.4565239914 | 0.0001000
   30 | 1.4891783450 | 0.0001000
   31 | 1.5919561627 | 0.0001000
   32 | 1.4829425972 | 0.0001000
   33 | 1.4044069883 | 0.0001000
   34 | 1.5293880751 | 0.0001000
   35 | 1.7903623501 | 0.0001000
   36 | 1.4506261168 | 0.0001000
   37 | 1.6081744603 | 0.0001000
   38 | 1.6206436157 | 0.0001000
   39 | 1.5857544586 | 0.0001000
   40 | 1.6884489620 | 0.0001000
   41 | 1.7370238424 | 0.0001000
   42 | 1.6486010511 | 0.0001000
   43 | 1.6885672818 | 0.0001000
   44 | 1.6475483229 | 0.0001000
   45 | 1.7663359762 | 0.0001000
   46 | 1.5898166624 | 0.0001000
   47 | 1.4985277192 | 0.0001000
   48 | 1.2403491365 | 0.0001000
   49 | 1.2504000303 | 0.0001000
   50 | 1.0548228737 | 0.0001000

-----  Loss:    kld      -----
Epoch | Loss           | Learning Rate
------------------------------
    1 | 13.2607684878 | 0.0001000
    2 | 0.3927668451 | 0.0001000
    3 | 0.3633153362 | 0.0001000
    4 | 0.2961404221 | 0.0001000
    5 | 0.3570817979 | 0.0001000
    6 | 0.3471692680 | 0.0001000
    7 | 0.2519372445 | 0.0001000
    8 | 0.2429897618 | 0.0001000
    9 | 0.2340343253 | 0.0001000
   10 | 0.2459727282 | 0.0001000
   11 | 0.2095043272 | 0.0001000
