timestamp=
['start: 20260127-235935(+0800)', 'duration: 00:22:32', 'end: 20260128-002208(+0800)']

model config=
name: cls_forAugment
in_channels: 1
num_classes: 8
conv_num: 32

Epoch | Loss           | Learning Rate
------------------------------
    1 | 0.1495391179 | 0.0010000
    2 | 0.0599828040 | 0.0010000
    3 | 0.0496902290 | 0.0010000
    4 | 0.0435867091 | 0.0010000
    5 | 0.0396762757 | 0.0010000
    6 | 0.0363363149 | 0.0010000
    7 | 0.0326682221 | 0.0010000
    8 | 0.0302271625 | 0.0010000
    9 | 0.0293159413 | 0.0010000
   10 | 0.0261978035 | 0.0010000
   11 | 0.0240174177 | 0.0010000
   12 | 0.0234400295 | 0.0010000
   13 | 0.0210500554 | 0.0010000
   14 | 0.0193165793 | 0.0010000
   15 | 0.0186122433 | 0.0010000
   16 | 0.0172656985 | 0.0010000
   17 | 0.0170668034 | 0.0010000
   18 | 0.0153503963 | 0.0010000
   19 | 0.0136763521 | 0.0010000
   20 | 0.0121799431 | 0.0010000
   21 | 0.0110886608 | 0.0010000
   22 | 0.0110885271 | 0.0010000
   23 | 0.0099455488 | 0.0010000
   24 | 0.0093329927 | 0.0010000
   25 | 0.0080023121 | 0.0010000
   26 | 0.0079394216 | 0.0010000
   27 | 0.0085433124 | 0.0010000
   28 | 0.0074753483 | 0.0010000
   29 | 0.0076156085 | 0.0010000
   30 | 0.0069234190 | 0.0010000
