timestamp=
['start: 20260127-235935(+0800)', 'duration: 00:22:32', 'end: 20260128-002208(+0800)']

model config=
name: colVAE
upsample_target_size: (64, 64)
loss_function: [0.0005 * max(0, mse-110.0) + 110.0] + [0.4973 * max(0, kld-0.0) + 0.0] + [0.0050 * max(0, dice-0.15) + 0.15] + [0.4973 * max(0, ssim-0.09) + 0.09]
R_config: {'name': '20251116-130523(+0800)_Rref_VGG4layer_weights.pth', 'output_channels': 32, 'num_classes': 8}
z_dim: 512
encoder_input_channels: 4
encoder_output_channels: 256
conditioned_features_channels: 64
z_projected_channels: 64
train_loader: {'name': 'train_loader', 'batch_size': 128, 'wafer_resize_scale': (64, 64), 'test_size': 0.2}
validation_loader: None

Epoch | Loss           | Learning Rate
------------------------------
    1 | 7.6747525414 | 0.0001000
    2 | 0.4530010285 | 0.0001000
    3 | 0.4181984738 | 0.0001000
    4 | 0.3458403398 | 0.0001000
    5 | 0.3694787633 | 0.0001000
    6 | 0.3152668553 | 0.0001000
    7 | 0.2967332233 | 0.0001000
    8 | 0.2928789878 | 0.0001000
    9 | 0.2809559512 | 0.0001000
   10 | 0.2978567063 | 0.0001000
   11 | 0.2805380978 | 0.0001000
   12 | 0.2704164808 | 0.0001000
   13 | 0.2427433789 | 0.0001000
   14 | 0.2426580732 | 0.0001000
   15 | 0.2433348907 | 0.0001000
   16 | 0.2248543674 | 0.0001000
   17 | 0.2238238624 | 0.0001000
   18 | 0.2246090577 | 0.0001000
   19 | 0.2098234318 | 0.0001000
   20 | 0.2053480792 | 0.0001000
   21 | 0.2387300208 | 0.0001000
   22 | 0.1954897868 | 0.0001000
   23 | 0.1811072510 | 0.0001000
   24 | 0.1775934816 | 0.0001000
   25 | 0.1755311234 | 0.0001000
   26 | 0.1823578014 | 0.0001000
   27 | 0.1701788323 | 0.0001000
   28 | 0.1771450682 | 0.0001000
   29 | 0.1658653008 | 0.0001000
   30 | 0.1652966902 | 0.0001000
   31 | 0.1559665209 | 0.0001000
   32 | 0.1520135646 | 0.0001000
   33 | 0.1868207479 | 0.0001000
   34 | 0.1562116140 | 0.0001000
   35 | 0.1457973449 | 0.0001000
   36 | 0.1436075994 | 0.0001000
   37 | 0.1408465990 | 0.0001000
   38 | 0.1385282074 | 0.0001000
   39 | 0.1364893979 | 0.0001000
   40 | 0.1441083998 | 0.0001000
   41 | 0.1314633706 | 0.0001000
   42 | 0.1308306557 | 0.0001000
   43 | 0.1442357593 | 0.0001000
   44 | 0.1382886298 | 0.0001000
   45 | 0.1308872232 | 0.0001000
   46 | 0.1305146750 | 0.0001000
   47 | 0.1288258816 | 0.0001000
   48 | 0.1267881536 | 0.0001000
   49 | 0.1261302209 | 0.0001000
   50 | 0.1249241899 | 0.0001000
