timestamp=
['start: 20260127-235935(+0800)', 'duration: 00:22:32', 'end: 20260128-002208(+0800)']

model config=
name: colVAE
upsample_target_size: (64, 64)
loss_function: [0.0005 * max(0, mse-110.0) + 110.0] + [0.4973 * max(0, kld-0.0) + 0.0] + [0.0050 * max(0, dice-0.15) + 0.15] + [0.4973 * max(0, ssim-0.09) + 0.09]
R_config: {'name': '20251116-130523(+0800)_Rref_VGG4layer_weights.pth', 'output_channels': 32, 'num_classes': 8}
z_dim: 512
encoder_input_channels: 4
encoder_output_channels: 256
conditioned_features_channels: 64
z_projected_channels: 64
train_loader: {'name': 'train_loader', 'batch_size': 128, 'wafer_resize_scale': (64, 64), 'test_size': 0.2}
validation_loader: None

-----  Loss:    mse      -----
Epoch | Loss           | Learning Rate
------------------------------
    1 | 368.9678315876 | 0.0001000
    2 | 154.5693440157 | 0.0001000
    3 | 143.9907756132 | 0.0001000
    4 | 139.2212690466 | 0.0001000
    5 | 135.2957021890 | 0.0001000
    6 | 131.7639144769 | 0.0001000
    7 | 128.3940792244 | 0.0001000
    8 | 124.9733331504 | 0.0001000
    9 | 121.6802454716 | 0.0001000
   10 | 118.5230489779 | 0.0001000
   11 | 115.2779069147 | 0.0001000
   12 | 112.8531955751 | 0.0001000
   13 | 111.8614182031 | 0.0001000
   14 | 111.3877270803 | 0.0001000
   15 | 110.9795387332 | 0.0001000
   16 | 110.7413869265 | 0.0001000
   17 | 110.5878444960 | 0.0001000
   18 | 110.6043411383 | 0.0001000
   19 | 110.5292316084 | 0.0001000
   20 | 110.4228512419 | 0.0001000
   21 | 110.4137919771 | 0.0001000
   22 | 110.3458147770 | 0.0001000
   23 | 110.3068529017 | 0.0001000
   24 | 110.2536435167 | 0.0001000
   25 | 110.2488546932 | 0.0001000
   26 | 110.1831869238 | 0.0001000
   27 | 110.1741082007 | 0.0001000
   28 | 110.1800522684 | 0.0001000
   29 | 110.1547506637 | 0.0001000
   30 | 110.1307110185 | 0.0001000
   31 | 110.1232249156 | 0.0001000
   32 | 110.0986934309 | 0.0001000
   33 | 110.1047946706 | 0.0001000
   34 | 110.1076207522 | 0.0001000
   35 | 110.1048238418 | 0.0001000
   36 | 110.0815143745 | 0.0001000
   37 | 110.0815657287 | 0.0001000
   38 | 110.0703287525 | 0.0001000
   39 | 110.0101134036 | 0.0001000
   40 | 110.0158443932 | 0.0001000
   41 | 110.0002434354 | 0.0001000
   42 | 110.0000000000 | 0.0001000
   43 | 110.0000000000 | 0.0001000
   44 | 110.0000000000 | 0.0001000
   45 | 110.0000000000 | 0.0001000
   46 | 110.0000000000 | 0.0001000
   47 | 110.0000000000 | 0.0001000
   48 | 110.0000000000 | 0.0001000
   49 | 110.0000000000 | 0.0001000
   50 | 110.0000000000 | 0.0001000

-----  Loss:    kld      -----
Epoch | Loss           | Learning Rate
------------------------------
    1 | 14.6638059626 | 0.0001000
    2 | 0.4724795219 | 0.0001000
    3 | 0.4424448545 | 0.0001000
    4 | 0.3174370743 | 0.0001000
    5 | 0.3815737233 | 0.0001000
    6 | 0.2870376529 | 0.0001000
    7 | 0.2634189192 | 0.0001000
    8 | 0.2681141283 | 0.0001000
    9 | 0.2554150689 | 0.0001000
   10 | 0.2993516923 | 0.0001000
   11 | 0.2741635476 | 0.0001000
   12 | 0.2623489538 | 0.0001000
   13 | 0.2143377534 | 0.0001000
   14 | 0.2204832020 | 0.0001000
   15 | 0.2272038521 | 0.0001000
   16 | 0.1943494270 | 0.0001000
   17 | 0.1963505135 | 0.0001000
   18 | 0.2011224796 | 0.0001000
   19 | 0.1743949656 | 0.0001000
   20 | 0.1682101511 | 0.0001000
   21 | 0.2379461040 | 0.0001000
   22 | 0.1533303255 | 0.0001000
   23 | 0.1269320031 | 0.0001000
   24 | 0.1224131057 | 0.0001000
   25 | 0.1208326498 | 0.0001000
   26 | 0.1372874780 | 0.0001000
   27 | 0.1152215397 | 0.0001000
   28 | 0.1313684495 | 0.0001000
   29 | 0.1113591605 | 0.0001000
   30 | 0.1124398852 | 0.0001000
   31 | 0.0960788077 | 0.0001000
   32 | 0.0906065030 | 0.0001000
   33 | 0.1627026078 | 0.0001000
   34 | 0.1030645561 | 0.0001000
   35 | 0.0840843555 | 0.0001000
   36 | 0.0818129840 | 0.0001000
   37 | 0.0777052111 | 0.0001000
   38 | 0.0741221283 | 0.0001000
   39 | 0.0702397496 | 0.0001000
   40 | 0.0856193858 | 0.0001000
   41 | 0.0605700962 | 0.0001000
   42 | 0.0592908796 | 0.0001000
   43 | 0.0864064318 | 0.0001000
   44 | 0.0746332350 | 0.0001000
   45 | 0.0596397295 | 0.0001000
   46 | 0.0588814437 | 0.0001000
   47 | 0.0554390022 | 0.0001000
   48 | 0.0512710757 | 0.0001000
   49 | 0.0499597062 | 0.0001000
   50 | 0.0476547865 | 0.0001000

-----  Loss:    dice     -----
Epoch | Loss           | Learning Rate
------------------------------
    1 | 0.4628326247 | 0.0001000
    2 | 0.3418708511 | 0.0001000
    3 | 0.3358405374 | 0.0001000
    4 | 0.3339150542 | 0.0001000
    5 | 0.3325649320 | 0.0001000
    6 | 0.3313818392 | 0.0001000
    7 | 0.3303389118 | 0.0001000
    8 | 0.3292128313 | 0.0001000
